name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_NS+LMXB,e_P_NS+LMXB,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J191355.5+094615,1.004016064257028e-05,0.0549799196787148,0.4006626506024096,0.0308534136546184,0.3007028112449799,0.2092168674698795,0.0003168621252622,0.0466215340327989,0.143091363618892,0.0301816044075966,0.1090401614828663,0.1046121775660081,0.0035742971887549,0.006657644598487118,HM-STAR,0.4006626506024096,0.143091363618892,0.0,288.4812916666666,9.770991666666667,1.49,6.03,2.272112233148995e-14,0.19010047560464666,,0.421,12.299035,9.79,8.749,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191408.5+095504,0.0,0.0027510040160642,0.1437048192771084,0.0009839357429718,0.7809738955823293,0.0649899598393574,0.0,0.0069065731560436,0.0859158710680066,0.0034489446309304,0.1104142738992045,0.0455044301736162,0.0065963855421686,0.00998434224517649,LM-STAR,0.7809738955823293,0.1104142738992045,1.0,288.53545833333334,9.917930555555555,0.75,8.75,1.954387378810518e-14,-0.8928910147974362,,0.817,13.118026,11.694,11.966,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191316.1+100902,0.0,0.001867469879518,0.1163755020080321,0.0022389558232931,0.8568674698795181,0.0222489959839357,0.0,0.005391833208738,0.1037334018314575,0.0060406602615969,0.1192448033317689,0.0230481743463442,0.0004016064257028,0.0022053743012837,LM-STAR,0.8568674698795181,0.1192448033317689,1.0,288.3174166666666,10.150561111111111,0.74,9.27,1.9795080156946402e-14,-0.9294208892943507,,0.352,9.999143,8.556,7.792,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191246.9+100948,1.004016064257028e-05,0.1735943775100401,0.0975401606425702,0.0966064257028112,0.1949698795180723,0.2204016064257028,0.0003168621252622,0.1033077664143488,0.060506018584925,0.0580324785071594,0.0932608547652403,0.0755431878037157,0.2168775100401605,0.11034822400134706,YSO,0.2204016064257028,0.0755431878037157,0.0,288.1955833333333,10.163494444444444,1.45,7.55,3.666115980665525e-14,0.08932608520383777,,0.694,15.166695,13.117,,8,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191237.9+101044,0.0002660642570281,0.0902610441767068,0.0026054216867469,0.0003614457831325,8.53413654618474e-05,0.0010592369477911,0.0016638313151017,0.081529241469469,0.006574958640823,0.0019205002274643,0.0010113655547637,0.0034155283911915,0.9053614457831326,0.17717714135856108,NS+LMXB,0.9053614457831326,0.17717714135856108,1.0,288.1582083333333,10.17914722222222,1.58,14.66,2.660686252032787e-13,0.7657098789497219,,0.762,,,,0,extent,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J161610.8-515545,0.0153212851405622,0.0036696787148594,0.0167369477911646,0.0,3.012048192771084e-05,0.0017570281124497,0.0359822288458985,0.0131501695461561,0.0302858256698377,0.0,0.0005482694432981,0.0050500212252116,0.9624849397590362,0.17662917398785108,NS+LMXB,0.9624849397590362,0.17662917398785108,1.0,244.0450833333333,-51.92939166666667,2.02,7.15,4.6586865234000463e-14,0.8232606888949521,,0.136,,,,0,,331.470001,-0.6,25.2,extent,J1614-518,
2CXO J184201.9-052823,0.0027560240963855,0.0108333333333333,0.0141265060240963,6.358768406961175e-05,0.0001004016064257,0.0023845381526104,0.0206978675826221,0.0407172914428939,0.0284762099462953,0.0007811111085753,0.0011819240932345,0.0067221767448121,0.969735609103079,0.20778102994273567,NS+LMXB,0.969735609103079,0.20778102994273567,1.0,280.5080416666666,-5.473288888888889,1.36,6.22,5.062928557978479e-14,0.8434832981884972,,0.629,,,,0,,26.707516,-0.227319,24.493380000000002,extent,J1841-055,
2CXO J184137.9-052439,2.008032128514056e-05,0.0124397590361445,0.2787349397590361,0.0098694779116465,0.6082530120481928,0.0895682730923694,0.0004478854770777,0.0167683413580973,0.1345358894565152,0.0142935144349816,0.1525276488354165,0.0535279418643279,0.0011144578313253,0.0037326418099835,LM-STAR,0.6082530120481928,0.1525276488354165,0.0,280.4080833333333,-5.410983333333333,1.09,6.71,3.272250770540731e-14,-0.7170143534424225,,0.572,10.632602,9.497,7.925,9,,26.707516,-0.227319,24.493380000000002,extent,J1841-055,
2CXO J184033.1-054600,0.0,0.0083032128514056,0.2892369477911646,0.0215963855421686,0.6275301204819277,0.0515060240963855,0.0,0.0136809455475214,0.142118996358513,0.030297714509687,0.167313757844974,0.0346575633497528,0.0018273092369477217,0.005021195815601971,LM-STAR,0.6275301204819277,0.167313757844974,0.0,280.13825,-5.766944444444444,2.17,6.76,3.2138312721017703e-14,-0.2435325062684579,,0.517,9.396356,7.732,6.99,9,,26.707516,-0.227319,24.493380000000002,extent,J1841-055,
2CXO J184032.0-054236,0.0663403614457831,0.0021787148594377,0.0033232931726907,0.0092068273092369,0.0003514056224899,0.0303062248995983,0.0817364044753171,0.0058560786402012,0.0090337112691776,0.0151250530485982,0.0020489016624132,0.0336226712429751,0.888293172690763,0.32598135849749,NS+LMXB,0.888293172690763,0.32598135849749,1.0,280.1334166666666,-5.710258333333334,0.81,9.92,1.9224780367453745e-13,0.9909698295443037,,0.452,,,,0,,26.707516,-0.227319,24.493380000000002,extent,J1841-055,
